BW_ID	WKT	IslandName	Date	Start	End	Name	Function	Start_Function	End_Function	Use	Start_Use	End_Use	Typology	Start_Typology	End_Typology	Height	Material	Architect	Patron	Owner	Start_Owner	End_Owner	Tenant	Start_Tenant	End_Tenant	SHP_Lenght	SHP_Area
SS_BLDG_032	MULTIPOLYGON (((1370098.31093942 5692850.52253415,1370099.03341457 5692850.48353573,1370099.73821942 5692850.31928375,1370100.40377267 5692850.03466956,1370101.00993023 5692849.63838181,1370101.53839985 5692849.14260355,1370101.97299614 5692848.56228754,1370102.30062958 5692847.91497257,1370102.51115269 5692847.22050408,1370102.59831392 5692846.49999487,1370102.55944413 5692845.7751239,1370102.39573498 5692845.0679819,1370102.11206168 5692844.40022169,1370101.71707827 5692843.79191155,1370101.22294508 5692843.26183211,1370100.64454785 5692842.82579462,1370099.99937319 5692842.49707458,1370099.30720086 5692842.28585312,1370098.58907384 5692842.19840255,1370097.86659936 5692842.23740087,1370097.1617951 5692842.40165254,1370096.49624228 5692842.68626621,1370095.88993699 5692843.08241663,1370095.36161537 5692843.57833094,1370094.92701887 5692844.15864631,1370094.59937916 5692844.80581816,1370094.38885548 5692845.5002863,1370094.30169944 5692846.22093797,1370094.34056857 5692846.94580905,1370094.50427713 5692847.65295137,1370094.78794999 5692848.32071207,1370095.18278518 5692848.92888611,1370095.67706633 5692849.45910295,1370096.25546376 5692849.89514107,1370096.90049672 5692850.22386751,1370097.59266962 5692850.43508932,1370098.31093942 5692850.52253415)))	San Secondo	1500	1500-01-01	1733-12-31	Campanile	Private	1500-01-01	1733-12-31	Religious	1500-01-01	1733-12-31	Bell tower	1500-01-01	1733-12-31		Brick		16	42	1534-01-01	1733-12-31				18.3028992181332	26.5905112842053
SS_BLDG_032	MULTIPOLYGON (((1370098.31093942 5692850.52253415,1370099.03341457 5692850.48353573,1370099.73821942 5692850.31928375,1370100.40377267 5692850.03466956,1370101.00993023 5692849.63838181,1370101.53839985 5692849.14260355,1370101.97299614 5692848.56228754,1370102.30062958 5692847.91497257,1370102.51115269 5692847.22050408,1370102.59831392 5692846.49999487,1370102.55944413 5692845.7751239,1370102.39573498 5692845.0679819,1370102.11206168 5692844.40022169,1370101.71707827 5692843.79191155,1370101.22294508 5692843.26183211,1370100.64454785 5692842.82579462,1370099.99937319 5692842.49707458,1370099.30720086 5692842.28585312,1370098.58907384 5692842.19840255,1370097.86659936 5692842.23740087,1370097.1617951 5692842.40165254,1370096.49624228 5692842.68626621,1370095.88993699 5692843.08241663,1370095.36161537 5692843.57833094,1370094.92701887 5692844.15864631,1370094.59937916 5692844.80581816,1370094.38885548 5692845.5002863,1370094.30169944 5692846.22093797,1370094.34056857 5692846.94580905,1370094.50427713 5692847.65295137,1370094.78794999 5692848.32071207,1370095.18278518 5692848.92888611,1370095.67706633 5692849.45910295,1370096.25546376 5692849.89514107,1370096.90049672 5692850.22386751,1370097.59266962 5692850.43508932,1370098.31093942 5692850.52253415)))	San Secondo	1717	1500-01-01	1733-12-31	Campanile	Private	1500-01-01	1733-12-31	Religious	1500-01-01	1733-12-31	Bell tower	1500-01-01	1733-12-31		Brick		16	42	1534-01-01	1806-07-27				18.3028992181332	26.5905112842053
SS_BLDG_032	MULTIPOLYGON (((1370098.31093942 5692850.52253415,1370099.03341457 5692850.48353573,1370099.73821942 5692850.31928375,1370100.40377267 5692850.03466956,1370101.00993023 5692849.63838181,1370101.53839985 5692849.14260355,1370101.97299614 5692848.56228754,1370102.30062958 5692847.91497257,1370102.51115269 5692847.22050408,1370102.59831392 5692846.49999487,1370102.55944413 5692845.7751239,1370102.39573498 5692845.0679819,1370102.11206168 5692844.40022169,1370101.71707827 5692843.79191155,1370101.22294508 5692843.26183211,1370100.64454785 5692842.82579462,1370099.99937319 5692842.49707458,1370099.30720086 5692842.28585312,1370098.58907384 5692842.19840255,1370097.86659936 5692842.23740087,1370097.1617951 5692842.40165254,1370096.49624228 5692842.68626621,1370095.88993699 5692843.08241663,1370095.36161537 5692843.57833094,1370094.92701887 5692844.15864631,1370094.59937916 5692844.80581816,1370094.38885548 5692845.5002863,1370094.30169944 5692846.22093797,1370094.34056857 5692846.94580905,1370094.50427713 5692847.65295137,1370094.78794999 5692848.32071207,1370095.18278518 5692848.92888611,1370095.67706633 5692849.45910295,1370096.25546376 5692849.89514107,1370096.90049672 5692850.22386751,1370097.59266962 5692850.43508932,1370098.31093942 5692850.52253415)))	San Secondo	1697	1500-01-01	1733-12-31	Campanile	Private	1500-01-01	1733-12-31	Religious	1500-01-01	1733-12-31	Bell tower	1500-01-01	1733-12-31		Brick		16	42	1534-01-01	1806-07-27				18.3028992181332	26.5905112842053
SS_BLDG_033	MULTIPOLYGON (((1370140.50135638 5692899.11481001,1370151.4755324 5692892.70897276,1370142.63843389 5692876.40988015,1370130.91082051 5692883.00881375,1370136.60720666 5692892.74899453,1370137.85585507 5692894.67214228,1370140.50135638 5692899.11481001)))	San Secondo	1697	1563-01-01	1788-12-31	Cucina	Private	1563-01-01	1788-12-31	Service	1563-01-01	1788-12-31	Kitchen	1563-01-01	1788-12-31		Brick ; Istrian marble	43	42	42	1563-01-01	1806-07-27				44.5075106907333	120.296543357416
SS_BLDG_033	MULTIPOLYGON (((1370140.50135638 5692899.11481001,1370151.4755324 5692892.70897276,1370142.63843389 5692876.40988015,1370130.91082051 5692883.00881375,1370136.60720666 5692892.74899453,1370137.85585507 5692894.67214228,1370140.50135638 5692899.11481001)))	San Secondo	1717	1563-01-01	1788-12-31	Cucina	Private	1563-01-01	1788-12-31	Service	1563-01-01	1788-12-31	Kitchen	1563-01-01	1788-12-31		Brick ; Istrian marble	43	42	42	1563-01-01	1806-07-27				44.5075106907333	120.296543357416
SS_BLDG_034	MULTIPOLYGON (((1370129.84763499 5692917.51506844,1370123.78815393 5692906.37275108,1370119.14756943 5692908.84925888,1370103.33126699 5692917.46707478,1370110.23362922 5692928.94082744,1370114.70065209 5692926.33879343,1370116.99540521 5692925.00196318,1370128.44345237 5692918.33315286,1370129.84763499 5692917.51506844)))	San Secondo	1717	1563-01-01	1716-12-31	Legnaia	Private	1563-01-01	1716-12-31	Service	1563-01-01	1716-12-31	Woodshed	1563-01-01	1716-12-31		Brick		42	42	1534-01-01	1806-07-27				50.5547986809831	147.634113159661
SS_BLDG_034	MULTIPOLYGON (((1370129.84763499 5692917.51506844,1370123.78815393 5692906.37275108,1370119.14756943 5692908.84925888,1370103.33126699 5692917.46707478,1370110.23362922 5692928.94082744,1370114.70065209 5692926.33879343,1370116.99540521 5692925.00196318,1370128.44345237 5692918.33315286,1370129.84763499 5692917.51506844)))	San Secondo	1697	1563-01-01	1716-12-31	Legnaia	Private	1563-01-01	1716-12-31	Service	1563-01-01	1716-12-31	Woodshed	1563-01-01	1716-12-31		Brick		42	42	1534-01-01	1806-07-27				50.5547986809831	147.634113159661
SS_BLDG_035	MULTIPOLYGON (((1370065.6457473 5692867.65079106,1370071.2642008 5692881.5255545,1370100.35444686 5692867.71915643,1370094.92017178 5692855.03023927,1370065.6457473 5692867.65079106)))	San Secondo	1500	1500-01-01	1607-12-31	Chiesa	Private	1500-01-01	1607-12-31	Religious	1500-01-01	1607-12-31	Church	1500-01-01	1607-12-31		Brick ; Stone		16	18	1500-01-01	1531-12-31				65.1657669977359	226.718730191543
SS_BLDG_036	MULTIPOLYGON (((1370035.86769636 5692831.87243614,1370039.04403965 5692836.23946212,1370053.16902368 5692852.94557891,1370063.81205817 5692868.4206172,1370074.49067097 5692863.83487917,1370072.60060337 5692858.6567972,1370052.52091105 5692830.28559567,1370045.44353241 5692822.78177392,1370043.82714586 5692824.28451532,1370035.86769636 5692831.87243614)))	San Secondo	1500	1500-01-01	1562-12-31	Monastero	Private	1500-01-01	1562-12-31	Religious	1500-01-01	1562-12-31	Convent	1500-01-01	1562-12-31		Brick ; Stone		16	18	1500-01-01	1531-12-31				85.1940171636558	311.056242245962
SS_BLDG_037	MULTIPOLYGON (((1370073.7283619 5692887.8809194,1370078.2934927 5692885.62981698,1370090.97603084 5692879.61069657,1370091.9049616 5692879.16993062,1370105.04914695 5692872.93159933,1370105.21713862 5692872.85180891,1370102.71466089 5692866.71487634,1370100.35444686 5692867.71915643,1370088.7814231 5692873.21177862,1370071.2642008 5692881.5255545,1370073.7283619 5692887.8809194)))	San Secondo	1500	1500-01-01	1562-12-31	Monastero	Private	1500-01-01	1562-12-31	Religious	1500-01-01	1562-12-31	Convent	1500-01-01	1562-12-31		Brick ; Stone		16	18	1500-01-01	1531-12-31				58.3393134654195	115.248259002748
SS_BLDG_038	MULTIPOLYGON (((1370094.92017178 5692855.03023927,1370100.02093469 5692866.94018281,1370100.35444686 5692867.71915643,1370102.71466089 5692866.71487634,1370106.95771608 5692861.95596787,1370102.21440406 5692851.76546769,1370094.92017178 5692855.03023927)))	San Secondo	1500	1500-01-01	1562-12-31	Sacrestia	Private	1500-01-01	1562-12-31	Religious	1500-01-01	1562-12-31	Sacristy	1500-01-01	1562-12-31		Brick ; Istrian marble		16	18	1500-01-01	1531-12-31				29.4363663421932	52.1430136735508
SS_BLDG_039	MULTIPOLYGON (((1370102.71466089 5692866.71487634,1370105.21713862 5692872.85180891,1370112.49761924 5692885.30403782,1370115.63437918 5692890.72028196,1370122.00445474 5692903.09288153,1370137.85585507 5692894.67214228,1370136.60720666 5692892.74899453,1370130.91082051 5692883.00881375,1370117.63896901 5692857.93114305,1370106.95771608 5692861.95596787,1370102.71466089 5692866.71487634)))	San Secondo	1500	1500-01-01	1517-12-31	Dormitorio	Private	1500-01-01	1517-12-31	Religious	1500-01-01	1517-12-31	Dormitory	1500-01-01	1517-12-31		Brick ; Stone		16	18	1500-01-01	1531-12-31				83.3933846001496	366.681593736883
SS_BLDG_040	MULTIPOLYGON (((1370116.51603799 5692905.93610017,1370110.37088922 5692894.71433879,1370083.07831478 5692910.62754236,1370090.61854376 5692920.83423537,1370116.51603799 5692905.93610017)))	San Secondo	1500	1500-01-01	1562-12-31	Refettorio	Private	1500-01-01	1696-12-31	Religious	1500-01-01	1562-12-31	Refectory	1500-01-01	1562-12-31		Brick ; Stone		16	18	1500-01-01	1531-12-31				61.0253472685237	192.132874331004
SS_BLDG_041	MULTIPOLYGON (((1370045.12285584 5692884.58678424,1370036.88289033 5692890.78037978,1370033.88361023 5692893.1971636,1370036.38881621 5692896.0024334,1370047.70489844 5692887.61298815,1370045.12285584 5692884.58678424)))	San Secondo	1717	1500-01-01	1838-12-31	Pontile	Private	1500-01-01	1806-07-27	Service	1500-01-01	1838-12-31	Dock	1500-01-01	1838-12-31		Wood		18	42	1534-01-01	1806-07-27				25.2535648287201	27.1538898923165
SS_BLDG_041	MULTIPOLYGON (((1370045.12285584 5692884.58678424,1370036.88289033 5692890.78037978,1370033.88361023 5692893.1971636,1370036.38881621 5692896.0024334,1370047.70489844 5692887.61298815,1370045.12285584 5692884.58678424)))	San Secondo	1500	1500-01-01	1838-12-31	Pontile	Private	1500-01-01	1806-7-27	Service	1500-01-01	1838-12-31	Dock	1500-01-01	1838-12-31		Wood		18	42	1534-01-01	1806-07-27				25.2535648287201	27.1538898923165
SS_BLDG_041	MULTIPOLYGON (((1370045.12285584 5692884.58678424,1370036.88289033 5692890.78037978,1370033.88361023 5692893.1971636,1370036.38881621 5692896.0024334,1370047.70489844 5692887.61298815,1370045.12285584 5692884.58678424)))	San Secondo	1697	1500-01-01	1838-12-31	Pontile	Private	1500-01-01	1806-07-27	Service	1500-01-01	1838-12-31	Dock	1500-01-01	1838-12-31		Wood		18	42	1534-01-01	1806-07-27				25.2535648287201	27.1538898923165
